#Selfie, The Chainsmokers
When We Come Alive, Switchfoot
When You Sleep, Mary Lambert
Where Angels Dare to Roam, Kill Devil Hill
Where Do Broken Hearts Go, One Direction
Where It's At, Dustin Lynch
Where's Your Car Debbie?, Slaves
Whipping Boy, REO Speedwagon
Whiskey on My Breath, Love and Theft
Whiskey Used to Burn, Lee Brice
Whispers, Passenger
Whistleblowers, James
White Coats, Foxes
White Fire, Angel Olsen
White Is Red, Death From Above 1979
White Lies and Alibi, Neil Finn
WHITECAPS, Prince
Who Am I, Vance Joy
Who Are You Waiting For, Melissa Etheridge
Who Do You Love, YG
Who's Gonna Stand Up, Neil Young
Whole Damn Year, Mary J. Blige
Whole World Is Watching, Within Temptation
Why Are You Still With Him?, The Courteeners
Why Try, Ariana Grande
Why Wait, Jennifer Knapp
Wiggle, Jason Derulo
Wild Child, Kenny Chesney
Wild Life, Jack and Jack
Wild Ones, You Me at Six
Wild Way, Tori Amos
Wild Wild Love, Pitbull
Wildest Dreams, Taylor Swift
Wildfire, Jill and Julia
Win Again, Nicki Minaj
"Win Some, Lose Some", You Me at Six
Winds of Change, Vance Joy
Wings of Feather and Wax, Killer Be Killed
Winners, Little Dragon
Wipe the Case Away, Bobby Shmurda
Wish I Was Here, Cat Power & Coldplay
Wish Man, Trevor Hall
Wish You Were Mine, Philip George
Without Those Songs, The Script
Without You, For King & Country
Wizard, Martin Garrix
Wobbles, Benmont Tench
Woman Up, Ashley Roberts
Women and Malt Whisky, Beverley Martyn
Won't Look Back, Duke Dumont
Wonderland, Taylor Swift
Word Crimes, Weird Al Yankovic
Word Up!, Little Mix
Words Are Medicine, Tim McGraw
Words As Weapons, Seether
Words in Red , Rachele Lynae
Work, Ty Dolla $ign
Work Song, Hozier
Work This Body, Walk the Moon
Work Work, Clipping.
World of Joy, Howler
World Of Strange Design, Rosanne Cash
World on Fire, Slash
World Peace Is None of Your Business, Morrissey
Worry, Jack Garratt
Worth My Time, Mary J. Blige
Would You Fight For My Love?, Jack White
Would You Still Be There, Of Mice & Men
Wouldn't Last, DEC3
WOW, Prince
Wrapped In Blue, The Coral
Wrapped Up, Olly Murs
Write You a Song, Jon Pardi
Write Your Story, Francesca Battistelli
Wrong Club, The Ting Tings
Wu-Tang Reunion, Wu-Tang Clan
X, Chris Brown
XIX, Slipknot
Xscape, Michael Jackson
XXX 88, Mø
Yard Sale, Neon Hitch
Yasss Bish, Nicki Minaj
Yellow Flicker Beat, Lorde
You & I (Forever), Jessie Ware
You and Me, Damon Albarn
You and Me, You+Me
You and Your Friends, Wiz Khalifa
You Are In Love, Taylor Swift
You Are Your Mother's Child, Conor Oberst
You Can't Stop Me, Andy Mineo
You Can't Stop Me, Suicide Silence
You Could Be Different, Childhood
You Don't Know What to Do, Mariah Carey
You Don't Really Know Me, Jessie J
You Got It All, Union J
You Got Me Singing, Leonard Cohen
You Just Don't Know People, Rumer
You Know My Name, Courtney Love
You Make Me Sick, Of Mice & Men
You Ruin Me, The Veronicas
You Should Be So Lucky, Benmont Tench
You Should See You Now, Ronnie Dunn
You Sound Good to Me, Lucy Hale
You Suck, Abigail Breslin
You Tell Me Where, The New Pornographers
You Think You Know Somebody, Hunter Hayes
You Won't Let Go, Michael W. Smith
You'll Be Lonely, Sharon Jones & The Dap-Kings
You'll Be Okay, A Great Big World
You're Mine, Lea Michele
You're Mine (Eternal), Mariah Carey
You're My Star, Tank
You're Not Alone, Owl City
You're On, Madeon
You're Still A Mystery, Bleachers
You've Got It Wrong, The Secret Sisters
You've Got Nothing To Lose, Michael Kiwanuka
Young & Crazy, Frankie Ballard
Young Blood, Bea Miller
Young Love (Paul Simon) , Kris Allen
Young Man's Game, Ben Watt
Your Daddy's Boots, Dustin Lynch
Your Loss I'm Found, Jessie J
Your Love, Nicole Scherzinger
Your Love Is Killing Me, Sharon Van Etten
Yours, Ella Henderson
Youth Is Wasted On The Young, Architects
Youth Is Wasted on the Young, Augustana
Zebras and Airplanes, Alicia Keys
Zombie, Jamie T.
Élan, Nightwish
