#Beautiful, Mariah Carey
Where You Stand, Travis
Wherever Love Goes, Kristy Lee Cook
While I'm Still Here, Nine Inch Nails
Whirlwind, Gorillaz
Whiskey, Marian Hill
Whiskey & Lace, Krystal Keith
Whiskey in My Water, Tyler Farr
Whistle, Kylie Minogue
White Cherry, Laura Veirs
White Noise, Disclosure
White Suburban, Skylar Grey
White Tiger, Izzy Bizu
Who Are You, Fifth Harmony
Who Cares About Those Kids, Joe Grushecky and the Houserockers
Who Do We Think We Are?, John Legend
Who I Am, Pusha T
Who I Am, Scott Stapp
Who I Am With You, Chris Young
Who Needs You, The Orwells
Who We Are, Switchfoot
Who You Love, John Mayer
Who's A Goofy Bunny Then?, Adam Ant
Whole Lot More Than That, Toby Keith
Whom Shall I Fear (God of Angel Armies), Chris Tomlin
Why God Made Love Songs, Joel Crouse
Why'd You Only Call Me When You're High?, Arctic Monkeys
Wild, Jessie J
Wild and Lonesome, Shooter Jennings
Wild Child, Brett Dennen
Wild Heart, DAUGHTRY
Wild Heart, The Vamps
Wild Old Dog, Patty Griffin
Wildfire, John Mayer
Wingman, Billy Currington
Wings, Birdy
Winter Dreams (Brandon's Song), Kelly Clarkson
Wit Me, T.I.
Witch Doctor, Tinie Tempah
Within, Daft Punk
Without Me, Fantasia
Without You, Fleetwood Mac
Witness, DAUGHTRY
Woman's World, Cher
Women Of Intention, Deap Vally
Wonderfilled Anthem, Owl City
"Wonderful, Glorious", Eels
Word Starts Attack, Johnny Marr
Words as Weapons, Birdy
Work, Iggy Azalea
Work Bitch, Britney Spears
World Ablaze, Big Sean
World I Used To Know, Ryan Star
Worship You, Vampire Weekend
Worst Behavior, Drake
Wraith, Peace
Wrapped In Red, Kelly Clarkson
Wrapped Up In a Carpet, Tribes
Wrath, Buckcherry
Wrecking Ball, Miley Cyrus
Wrecking Ball, Five Finger Death Punch
Wretched and Divine, Black Veil Brides
WTH, Jhené Aiko
Wu-Tang Forever, Drake
X2, Queensrÿche
XO, Beyoncé
Y'ant To, Joe Nichols
Y.A.L.A., M.I.A.
Ya Hey, Vampire Weekend
Yay Yay, ScHoolboy Q
Yayo, Snootie Wild
Yeah, Joe Nichols
Year of the Dragon, Andrew Stockdale
Yellow Moon, Pearl Jam
Yellow Raincoat, Justin Bieber
Yoncé/Partition, Beyoncé
You & I, Local Natives
You & I, One Direction
You & I (Nobody in the World), John Legend
You & Me, Disclosure
You (Ha Ha Ha), Charli XCX
You Ain't Dolly (And You Ain't Porter), Ashley Monroe
You Alone, Kutless
You Already Know, Arcade Fire
You Are, Colton Dixon
You Are Alone, The Flaming Lips
You Can't Be My Girl, Darwin Deez
You Can't Make Old Friends, Kenny Rogers and Dolly Parton
You Changed, Kelly Rowland
You Could Break a Heart Like That, Joel Crouse
You Don't Bleed For Me , Killswitch Engage
You Don't Get Me Twice, Sleigh Bells
You Don't Have To Be Lonely, Sarah Darling
You Don't Know, Big Sean
You Don't Tell Me What To Do, Kris Kristofferson
You Don't Wanna Know, Orianthi
You Feel So Lonely You Could Die, David Bowie
You Gave Up On Love (2.0), Boston
You Got Me, Ashley Monroe
You Know, Laura Marling
You Know You Like It, AlunaGeorge
You Lust, The Flaming Lips
You Make Me, Avicii
You Remind Me Of You, Jack Johnson
You Saved Me, The Winery Dogs
You Think You Know, Device
You Wanna Know, Don Broco
You Were Good, Jimmy Eat World
You Will See Me, dan le sac Vs Scroobius Pip
You Without Me, Gary Allan
You'll See, The Feeling
You're Always Here, Ashley Tisdale
You're Gonna Get It, Miles Kane
You're My Friend, Eels
You're Nobody 'Til Somebody Loves You, James Arthur
You're Not Alone, Of Mice & Men
You're Not The Boss Of Me, Blue Sky Riders
You're So Dark, Arctic Monkeys
You've Got Time, Regina Spektor
You've Never Had It So Good, Cast of Stephen Ward the Musical
You've Ruined Me, LeAnn Rimes
"You, My Everything", Ellie Goulding
Young And Beautiful, Lana Del Rey
Young Blood, Sophie Ellis-Bextor
Young Legends, Sleigh Bells
Young Lion, Vampire Weekend
Young Love, Kip Moore
Young Volcanoes, Fall Out Boy
Your Body Is A Weapon, The Wombats
"Your Drums, Your Love", AlunaGeorge
Your Favorite Song, Mindless Behavior
Your Fine Petting Duck, Devendra Banhart
Your Flame, Stone Gossard
Your Hallelujah, Leona Lewis
Your Life is a Lie, MGMT
Your Love, Deap Vally
Your Mama Should've Named You Whiskey, Luke Bryan
Your Touch, Blake Lewis
Yung Rapunxel, Azealia Banks
Zeitgeist, Black Sabbath
Zero, Hawthorne Heights
Zombie, We As Human
Zug Zwang, Dutch Uncles
{Awayland}, Villagers
Ísjaki, Sigur Rós
…Like Clockwork, Queens of the Stone Age
